date,video_id,video_title,content_category,impression_count,view_count,viewer_count,valid_viewer_count,complete_view_count,like_count,comment_count,share_count,collect_count,engaged_user_count,profile_visit_count,follow_count,active_user_count,new_user_count,return_user_count,next_day_active_user_count,day7_active_user_count,avg_watch_duration,play_rate,valid_view_rate,completion_rate,engagement_user_rate,profile_visit_rate,follow_conversion_rate,new_user_ratio,next_day_retention_rate,day7_retention_rate
2026-05-06,VID_1018,剧情短视频_19,剧情,10882,4091,3361,2138,1887,539,153,23,28,1218,557,145,1813,1197,1234,556,236,58.33,0.3759,0.6361,0.4613,0.3624,0.1657,0.2603,0.3561,0.4645,0.1972
2026-05-07,VID_1019,知识短视频_20,知识,11050,2853,2166,1247,795,271,87,43,80,291,409,98,1843,609,759,458,97,64.14,0.2582,0.5757,0.2787,0.1343,0.1888,0.2396,0.2812,0.7521,0.1593
2026-05-08,VID_1020,测评短视频_21,测评,44262,8797,7270,5266,1813,949,180,84,245,1803,1238,234,6191,919,4353,790,284,73.94,0.1987,0.7243,0.2061,0.248,0.1703,0.189,0.1264,0.8596,0.309
2026-05-09,VID_1021,搞笑短视频_22,搞笑,32942,13712,11587,5633,8892,2222,163,315,288,1051,821,109,5982,953,2556,1800,639,11.78,0.4162,0.4861,0.6485,0.0907,0.0709,0.1328,0.0822,1.8888,0.6705
2026-05-10,VID_1022,生活短视频_23,生活,34449,17951,15826,11541,11111,2078,557,302,469,1501,1017,128,9018,6149,4387,1303,1846,11.6,0.5211,0.7292,0.619,0.0948,0.0643,0.1259,0.3885,0.2119,0.3002
2026-05-11,VID_1023,运动短视频_24,运动,40645,16116,10680,8583,8940,3168,339,326,331,1538,486,71,8091,1505,6177,813,991,70.08,0.3965,0.8037,0.5547,0.144,0.0455,0.1461,0.1409,0.5402,0.6585
2026-05-12,VID_1024,剧情短视频_25,剧情,10422,3682,2839,1816,955,378,97,62,54,367,219,42,1941,486,1235,81,143,22.89,0.3533,0.6397,0.2594,0.1293,0.0771,0.1918,0.1712,0.1667,0.2942
2026-05-13,VID_1025,知识短视频_26,知识,9976,3780,3098,2264,1980,466,75,63,50,995,259,96,2263,1206,1718,486,269,28.75,0.3789,0.7308,0.5238,0.3212,0.0836,0.3707,0.3893,0.403,0.2231
2026-05-14,VID_1026,测评短视频_27,测评,27406,9527,6523,3123,5916,565,152,184,41,655,506,103,5689,2868,2275,356,140,71.26,0.3476,0.4788,0.621,0.1004,0.0776,0.2036,0.4397,0.1241,0.0488
2026-05-15,VID_1027,搞笑短视频_28,搞笑,42356,23218,20469,11757,12626,738,285,337,191,6979,1963,622,11762,8827,12192,3085,1025,37.58,0.5482,0.5744,0.5438,0.341,0.0959,0.3169,0.4312,0.3495,0.1161
2026-05-16,VID_1028,生活短视频_29,生活,42618,7757,6799,4239,3371,291,102,73,129,922,413,171,5193,1952,1588,598,586,52.23,0.182,0.6235,0.4346,0.1356,0.0607,0.414,0.2871,0.3064,0.3002
2026-05-17,VID_1029,运动短视频_30,运动,21450,9763,6516,3887,4586,1568,339,137,269,1337,1130,292,4979,2848,2190,657,141,68.54,0.4552,0.5965,0.4697,0.2052,0.1734,0.2584,0.4371,0.2307,0.0495
2026-04-18,VID_1030,剧情短视频_31,剧情,32562,7196,5408,2848,1528,948,37,65,160,2288,574,111,4246,2662,2423,678,668,71.57,0.221,0.5266,0.2123,0.4231,0.1061,0.1934,0.4922,0.2547,0.2509
2026-04-19,VID_1031,知识短视频_32,知识,32649,15110,13750,6815,8555,2944,596,141,348,3338,1705,549,11515,3100,3431,606,1358,38.69,0.4628,0.4956,0.5662,0.2428,0.124,0.322,0.2255,0.1955,0.4381
2026-04-20,VID_1032,测评短视频_33,测评,18287,5753,5109,2472,2748,208,103,23,39,1924,956,367,4107,1939,2602,991,157,23.48,0.3146,0.4839,0.4777,0.3766,0.1871,0.3839,0.3795,0.5111,0.081
2026-04-21,VID_1033,搞笑短视频_34,搞笑,48962,19524,17716,8004,8928,3558,556,160,510,5856,620,141,11632,7766,5661,1688,1097,20.38,0.3988,0.4518,0.4573,0.3305,0.035,0.2274,0.4384,0.2174,0.1413
2026-04-22,VID_1034,生活短视频_35,生活,34928,10016,8666,6698,7004,1279,399,184,195,1643,860,112,5863,4024,3455,327,111,9.17,0.2868,0.7729,0.6993,0.1896,0.0992,0.1302,0.4643,0.0813,0.0276
2026-04-23,VID_1035,运动短视频_36,运动,6986,2314,1944,1141,949,181,84,18,28,845,306,85,1767,587,966,255,51,29.28,0.3312,0.5869,0.4101,0.4347,0.1574,0.2778,0.302,0.4344,0.0869
2026-04-24,VID_1036,剧情短视频_37,剧情,11337,5665,4163,2808,3376,1127,162,118,155,1540,435,111,3556,656,1768,204,418,36.58,0.4997,0.6745,0.5959,0.3699,0.1045,0.2552,0.1576,0.311,0.6372
2026-04-25,VID_1037,知识短视频_38,知识,10305,1693,1587,779,373,199,26,6,11,271,65,16,1068,167,760,65,70,8.11,0.1643,0.4909,0.2203,0.1708,0.041,0.2462,0.1052,0.3892,0.4192
2026-04-26,VID_1038,测评短视频_39,测评,16629,8233,5354,3497,3661,1424,116,83,84,1088,553,203,3833,1964,1559,609,103,54.96,0.4951,0.6532,0.4447,0.2032,0.1033,0.3671,0.3668,0.3101,0.0524
2026-04-27,VID_1039,搞笑短视频_40,搞笑,8267,1737,1153,582,1145,84,46,14,32,96,71,6,882,503,232,195,48,64.46,0.2101,0.5048,0.6592,0.0833,0.0616,0.0845,0.4363,0.3877,0.0954
2026-04-28,VID_1040,生活短视频_41,生活,16683,8633,6788,4693,5976,1431,224,66,127,1451,1141,225,4364,765,1438,196,274,54.73,0.5175,0.6914,0.6922,0.2138,0.1681,0.1972,0.1127,0.2562,0.3582
2026-04-29,VID_1041,运动短视频_42,运动,14950,6659,4961,3998,3308,395,151,165,27,628,270,90,2517,2466,2152,334,480,49.04,0.4454,0.8059,0.4968,0.1266,0.0544,0.3333,0.4971,0.1354,0.1946
2026-04-30,VID_1042,剧情短视频_43,剧情,11570,1969,1631,926,1047,136,70,16,39,635,53,15,1221,401,768,228,224,35.67,0.1702,0.5677,0.5317,0.3893,0.0325,0.283,0.2459,0.5686,0.5586
2026-05-01,VID_1043,知识短视频_44,知识,15839,5636,3684,2830,2593,547,162,35,163,850,169,69,2137,603,2002,360,278,65.97,0.3558,0.7682,0.4601,0.2307,0.0459,0.4083,0.1637,0.597,0.461
2026-05-02,VID_1044,测评短视频_45,测评,33356,11901,10383,7708,7039,2108,391,61,110,3020,496,205,8665,931,6143,1062,820,29.06,0.3568,0.7424,0.5915,0.2909,0.0478,0.4133,0.0897,1.1407,0.8808
2026-05-03,VID_1045,搞笑短视频_46,搞笑,20815,8190,6750,4142,4102,770,153,48,67,2876,739,112,5454,1502,3928,199,844,26.36,0.3935,0.6136,0.5009,0.4261,0.1095,0.1516,0.2225,0.1325,0.5619
2026-05-04,VID_1046,生活短视频_47,生活,25468,5712,4607,2936,1883,804,127,31,60,445,515,224,2914,1848,2537,1148,763,12.74,0.2243,0.6373,0.3297,0.0966,0.1118,0.435,0.4011,0.6212,0.4129
2026-05-05,VID_1047,运动短视频_48,运动,12498,2563,1900,1275,636,148,35,16,67,746,256,71,1449,738,604,131,215,21.65,0.2051,0.6711,0.2481,0.3926,0.1347,0.2773,0.3884,0.1775,0.2913
2026-05-06,VID_1048,剧情短视频_49,剧情,31358,6217,5712,2799,2065,661,84,115,162,2245,345,80,5104,1271,2355,236,280,66.61,0.1983,0.49,0.3322,0.393,0.0604,0.2319,0.2225,0.1857,0.2203
2026-05-07,VID_1049,知识短视频_50,知识,47252,21780,17539,11334,10124,1118,834,296,626,4885,1821,234,10060,5487,4965,434,742,29.22,0.4609,0.6462,0.4648,0.2785,0.1038,0.1285,0.3128,0.0791,0.1352
2026-05-08,VID_1050,测评短视频_51,测评,46024,15464,11909,7892,4540,1696,160,359,199,5308,2013,713,6223,2665,6166,1801,597,68.97,0.336,0.6627,0.2936,0.4457,0.169,0.3542,0.2238,0.6758,0.224
2026-05-09,VID_1051,搞笑短视频_52,搞笑,31582,10270,8644,3897,7154,533,106,173,145,1589,350,87,7907,1850,4239,954,565,70.7,0.3252,0.4508,0.6966,0.1838,0.0405,0.2486,0.214,0.5157,0.3054
2026-05-10,VID_1052,生活短视频_53,生活,27701,6118,5221,4116,1346,1215,144,107,72,1286,948,338,4836,1220,2586,470,414,67.87,0.2209,0.7884,0.22,0.2463,0.1816,0.3565,0.2337,0.3852,0.3393
2026-05-11,VID_1053,运动短视频_54,运动,19107,6070,5123,3006,2452,870,169,106,27,1243,263,29,3314,835,2619,511,180,26.16,0.3177,0.5868,0.404,0.2426,0.0513,0.1103,0.163,0.612,0.2156
2026-05-12,VID_1054,剧情短视频_55,剧情,38996,10271,8755,7127,3094,1373,143,172,126,2456,1306,564,8223,2170,4151,229,928,37.3,0.2634,0.814,0.3012,0.2805,0.1492,0.4319,0.2479,0.1055,0.4276
2026-05-13,VID_1055,知识短视频_56,知识,9516,4989,4521,2617,2356,356,184,116,129,1181,621,126,4250,1776,2287,590,159,50.56,0.5243,0.5789,0.4722,0.2612,0.1374,0.2029,0.3928,0.3322,0.0895
2026-05-14,VID_1056,测评短视频_57,测评,32788,8299,6853,4207,2567,259,139,170,214,2617,1208,171,3853,2776,1687,917,115,35.9,0.2531,0.6139,0.3093,0.3819,0.1763,0.1416,0.4051,0.3303,0.0414
2026-05-15,VID_1057,搞笑短视频_58,搞笑,16598,6603,6139,5171,1550,1191,186,36,169,804,1009,181,3556,1583,2583,739,755,73.96,0.3978,0.8423,0.2347,0.131,0.1644,0.1794,0.2579,0.4668,0.4769
2026-05-16,VID_1058,生活短视频_59,生活,4493,845,733,616,303,121,14,17,21,183,74,7,637,186,240,134,66,17.5,0.1881,0.8404,0.3586,0.2497,0.101,0.0946,0.2538,0.7204,0.3548
2026-05-17,VID_1059,运动短视频_60,运动,27273,13680,9286,4748,6387,1425,439,51,286,974,361,28,8082,1398,2402,1943,846,14.12,0.5016,0.5113,0.4669,0.1049,0.0389,0.0776,0.1505,1.3898,0.6052
2026-04-18,VID_1060,剧情短视频_61,剧情,22899,10192,7411,5565,4607,685,125,199,72,2650,807,174,3992,1141,2001,918,366,51.13,0.4451,0.7509,0.452,0.3576,0.1089,0.2156,0.154,0.8046,0.3208
2026-04-19,VID_1061,知识短视频_62,知识,21540,7097,5449,4359,4881,1004,107,136,132,2195,341,55,4075,2332,2638,70,364,25.17,0.3295,0.8,0.6878,0.4028,0.0626,0.1613,0.428,0.03,0.1561
2026-04-20,VID_1062,测评短视频_63,测评,16554,7501,6735,4542,2945,944,215,33,30,1213,799,156,4010,3069,3088,515,369,69.75,0.4531,0.6744,0.3926,0.1801,0.1186,0.1952,0.4557,0.1678,0.1202
2026-04-21,VID_1063,搞笑短视频_64,搞笑,22676,3940,2815,1926,1173,256,77,27,29,932,186,21,2497,604,969,79,127,21.56,0.1738,0.6842,0.2977,0.3311,0.0661,0.1129,0.2146,0.1308,0.2103
2026-04-22,VID_1064,生活短视频_65,生活,40652,21214,14424,7110,5466,3356,714,309,634,4460,731,289,7498,3584,4753,2539,660,72.59,0.5218,0.4929,0.2577,0.3092,0.0507,0.3953,0.2485,0.7084,0.1842
2026-04-23,VID_1065,运动短视频_66,运动,44753,15639,12481,10463,6104,1322,183,82,414,2834,1615,205,9550,2878,4536,1278,1935,33.84,0.3495,0.8383,0.3903,0.2271,0.1294,0.1269,0.2306,0.4441,0.6723
2026-04-24,VID_1066,剧情短视频_67,剧情,39328,12994,10660,6766,6878,1226,108,86,296,3039,901,187,7196,1813,4531,976,1498,47.43,0.3304,0.6347,0.5293,0.2851,0.0845,0.2075,0.1701,0.5383,0.8263
2026-04-25,VID_1067,知识短视频_68,知识,18475,7714,5135,4252,3056,281,222,118,36,2166,659,53,4285,2248,2046,173,328,66.0,0.4175,0.828,0.3962,0.4218,0.1283,0.0804,0.4378,0.077,0.1459
2026-04-26,VID_1068,测评短视频_69,测评,49453,18595,13594,6990,10923,3603,649,132,361,3585,1647,720,12168,3225,3268,1870,1485,48.08,0.376,0.5142,0.5874,0.2637,0.1212,0.4372,0.2372,0.5798,0.4605
2026-04-27,VID_1069,搞笑短视频_70,搞笑,20533,6570,4999,3084,1702,536,233,23,115,1869,861,159,3542,1848,1326,508,121,38.47,0.32,0.6169,0.2591,0.3739,0.1722,0.1847,0.3697,0.2749,0.0655
2026-04-28,VID_1070,生活短视频_71,生活,48169,11354,7855,4126,4224,1902,443,54,237,909,1500,344,7007,2720,2919,277,832,71.27,0.2357,0.5253,0.372,0.1157,0.191,0.2293,0.3463,0.1018,0.3059
2026-04-29,VID_1071,运动短视频_72,运动,27545,4576,3943,2250,2981,228,32,97,36,381,745,290,2920,1831,1683,302,142,28.5,0.1661,0.5706,0.6514,0.0966,0.1889,0.3893,0.4644,0.1649,0.0776
2026-04-30,VID_1072,剧情短视频_73,剧情,40189,10626,9981,4867,6733,1840,403,61,262,3412,1707,752,7441,3076,5585,2061,542,33.5,0.2644,0.4876,0.6336,0.3418,0.171,0.4405,0.3082,0.67,0.1762
2026-05-01,VID_1073,知识短视频_74,知识,11900,3506,2690,1307,836,470,21,22,32,991,284,120,2526,462,1092,687,35,18.14,0.2946,0.4859,0.2384,0.3684,0.1056,0.4225,0.1717,1.487,0.0758
2026-05-02,VID_1074,测评短视频_75,测评,46847,10683,8766,7144,5006,1442,376,255,139,2731,563,211,4740,1533,3288,1182,767,20.07,0.228,0.815,0.4686,0.3115,0.0642,0.3748,0.1749,0.771,0.5003
2026-05-03,VID_1075,搞笑短视频_76,搞笑,5976,1663,1406,1011,694,314,19,8,28,231,214,30,1031,412,526,230,71,12.41,0.2783,0.7191,0.4173,0.1643,0.1522,0.1402,0.293,0.5583,0.1723
2026-05-04,VID_1076,生活短视频_77,生活,37495,9043,7607,3577,6245,364,305,156,219,1928,1387,355,5269,2646,4126,707,694,71.4,0.2412,0.4702,0.6906,0.2535,0.1823,0.2559,0.3478,0.2672,0.2623
2026-05-05,VID_1077,运动短视频_78,运动,30868,9209,7160,5547,4170,1442,88,67,186,2524,774,123,5987,3263,2212,480,121,27.23,0.2983,0.7747,0.4528,0.3525,0.1081,0.1589,0.4557,0.1471,0.0371
2026-05-06,VID_1078,剧情短视频_79,剧情,18418,9266,8137,5966,2664,708,146,53,169,1727,905,121,6650,889,3193,1467,652,62.16,0.5031,0.7332,0.2875,0.2122,0.1112,0.1337,0.1093,1.6502,0.7334
2026-05-07,VID_1079,知识短视频_80,知识,27881,6867,5206,2709,2978,572,99,40,105,1171,369,132,3312,1223,1532,1083,370,65.23,0.2463,0.5204,0.4337,0.2249,0.0709,0.3577,0.2349,0.8855,0.3025
2026-05-08,VID_1080,测评短视频_81,测评,32309,12775,11713,9527,7610,1419,284,152,239,2934,512,43,8766,5052,2851,942,1779,65.61,0.3954,0.8134,0.5957,0.2505,0.0437,0.084,0.4313,0.1865,0.3521
2026-05-09,VID_1081,搞笑短视频_82,搞笑,49944,25269,18807,11484,8440,3150,388,170,229,5723,3565,739,9893,9002,6792,3342,334,61.59,0.5059,0.6106,0.334,0.3043,0.1896,0.2073,0.4787,0.3713,0.0371
2026-05-10,VID_1082,生活短视频_83,生活,49019,25260,17480,12604,15338,1894,506,316,267,2919,1345,587,14842,7065,6141,1593,322,73.61,0.5153,0.7211,0.6072,0.167,0.0769,0.4364,0.4042,0.2255,0.0456
2026-05-11,VID_1083,运动短视频_84,运动,15441,2554,1819,1196,1545,237,29,18,37,205,176,62,1301,803,831,364,81,68.94,0.1654,0.6575,0.6049,0.1127,0.0968,0.3523,0.4415,0.4533,0.1009
2026-05-12,VID_1084,剧情短视频_85,剧情,6361,2811,2463,1204,1220,222,92,64,69,379,151,37,1526,480,743,176,76,63.88,0.4419,0.4888,0.434,0.1539,0.0613,0.245,0.1949,0.3667,0.1583
2026-05-13,VID_1085,知识短视频_86,知识,14556,4507,2977,1532,2341,787,156,36,23,1100,196,82,2650,620,1332,208,403,56.07,0.3096,0.5146,0.5194,0.3695,0.0658,0.4184,0.2083,0.3355,0.65
2026-05-14,VID_1086,测评短视频_87,测评,48835,24450,19761,14779,14920,1724,552,345,468,7059,1559,192,13393,8111,11170,1584,1525,20.44,0.5007,0.7479,0.6102,0.3572,0.0789,0.1232,0.4105,0.1953,0.188
2026-05-15,VID_1087,搞笑短视频_88,搞笑,23737,11111,10424,7700,7321,1228,439,56,163,4629,936,295,9318,2077,5369,1358,692,58.83,0.4681,0.7387,0.6589,0.4441,0.0898,0.3152,0.1993,0.6538,0.3332
2026-05-16,VID_1088,生活短视频_89,生活,12751,5005,4241,3315,1062,571,34,53,132,684,640,184,2179,1045,2451,189,248,57.24,0.3925,0.7817,0.2122,0.1613,0.1509,0.2875,0.2464,0.1809,0.2373
2026-05-17,VID_1089,运动短视频_90,运动,18832,9496,6787,4496,5599,1832,283,161,221,1159,469,42,5017,1900,2577,489,908,31.07,0.5042,0.6624,0.5896,0.1708,0.0691,0.0896,0.2799,0.2574,0.4779
2026-04-18,VID_1090,剧情短视频_91,剧情,48653,10042,9456,7670,6637,454,92,45,298,1918,555,87,5043,1282,5020,1386,1030,50.14,0.2064,0.8111,0.6609,0.2028,0.0587,0.1568,0.1356,1.0811,0.8034
2026-04-19,VID_1091,知识短视频_92,知识,30194,10835,9359,5886,4041,805,112,91,280,2368,550,206,6070,3445,5077,473,240,53.47,0.3588,0.6289,0.373,0.253,0.0588,0.3745,0.3681,0.1373,0.0697
2026-04-20,VID_1092,测评短视频_93,测评,33573,8997,7383,4178,4292,476,263,160,195,2289,987,306,3937,1976,2684,185,539,23.65,0.268,0.5659,0.477,0.31,0.1337,0.31,0.2676,0.0936,0.2728
2026-04-21,VID_1093,搞笑短视频_94,搞笑,45760,22051,17943,13532,9620,2505,518,358,511,4749,2428,1027,9551,5321,7045,2784,1682,37.74,0.4819,0.7542,0.4363,0.2647,0.1353,0.423,0.2966,0.5232,0.3161
2026-04-22,VID_1094,生活短视频_95,生活,30681,7264,4929,2219,3021,921,75,172,60,1797,762,70,3854,1069,2250,556,281,41.01,0.2368,0.4502,0.4159,0.3646,0.1546,0.0919,0.2169,0.5201,0.2629
2026-04-23,VID_1095,运动短视频_96,运动,11501,5203,4708,3999,1623,671,206,128,92,876,341,60,3707,2077,2698,270,299,37.03,0.4524,0.8494,0.3119,0.1861,0.0724,0.176,0.4412,0.13,0.144
2026-04-24,VID_1096,剧情短视频_97,剧情,14353,7808,7197,5537,2612,905,213,93,183,1430,885,254,4678,1575,1805,556,242,58.12,0.544,0.7693,0.3345,0.1987,0.123,0.287,0.2188,0.353,0.1537
2026-04-25,VID_1097,知识短视频_98,知识,49324,18328,12029,6935,5287,721,464,63,477,3881,923,96,6855,4026,4545,482,1600,8.73,0.3716,0.5765,0.2885,0.3226,0.0767,0.104,0.3347,0.1197,0.3974
2026-04-26,VID_1098,测评短视频_99,测评,28763,14714,11989,6114,4434,2825,328,141,241,3886,1836,554,7934,2089,2618,1163,196,50.5,0.5116,0.51,0.3013,0.3241,0.1531,0.3017,0.1742,0.5567,0.0938
2026-04-27,VID_1099,搞笑短视频_100,搞笑,11394,4491,3965,3069,2496,322,29,35,71,468,439,133,2721,611,2100,383,121,69.05,0.3942,0.774,0.5558,0.118,0.1107,0.303,0.1541,0.6268,0.198
2026-04-28,VID_1100,生活短视频_101,生活,27362,4236,3723,3120,2765,739,112,69,62,1635,459,49,2819,537,1846,180,320,41.65,0.1548,0.838,0.6527,0.4392,0.1233,0.1068,0.1442,0.3352,0.5959
2026-04-29,VID_1101,运动短视频_102,运动,47740,13123,12346,9176,5045,2496,402,101,345,1786,831,209,8274,5404,3662,2174,606,73.16,0.2749,0.7432,0.3844,0.1447,0.0673,0.2515,0.4377,0.4023,0.1121
2026-04-30,VID_1102,剧情短视频_103,剧情,28488,5280,4499,2635,1244,459,182,76,136,1151,711,131,3153,2160,2070,289,129,18.08,0.1853,0.5857,0.2356,0.2558,0.158,0.1842,0.4801,0.1338,0.0597
2026-05-01,VID_1103,知识短视频_104,知识,10078,4283,2844,1605,1155,332,26,70,58,691,285,77,2255,357,584,165,205,32.94,0.425,0.5643,0.2697,0.243,0.1002,0.2702,0.1255,0.4622,0.5742
2026-05-02,VID_1104,测评短视频_105,测评,42803,16582,10886,7141,6175,3154,95,269,395,2567,512,189,6838,4471,4930,2773,201,44.1,0.3874,0.656,0.3724,0.2358,0.047,0.3691,0.4107,0.6202,0.045
2026-05-03,VID_1105,搞笑短视频_106,搞笑,27930,5828,4376,3697,1212,650,228,78,43,1082,758,151,2289,2087,1340,202,371,41.16,0.2087,0.8448,0.208,0.2473,0.1732,0.1992,0.4769,0.0968,0.1778
2026-05-04,VID_1106,生活短视频_107,生活,49388,12521,10033,7964,5310,1505,490,88,148,1840,1760,394,5156,2453,2809,726,497,31.44,0.2535,0.7938,0.4241,0.1834,0.1754,0.2239,0.2445,0.296,0.2026
2026-05-05,VID_1107,运动短视频_108,运动,48643,14084,12183,7755,5361,2577,239,54,237,4818,1550,246,6770,2194,6077,767,1360,54.88,0.2895,0.6365,0.3806,0.3955,0.1272,0.1587,0.1801,0.3496,0.6199
2026-05-06,VID_1108,剧情短视频_109,剧情,22545,12334,9280,4780,5668,399,462,108,62,2573,559,171,5092,1678,2872,208,253,33.42,0.5471,0.5151,0.4595,0.2773,0.0602,0.3059,0.1808,0.124,0.1508
2026-05-07,VID_1109,知识短视频_110,知识,36538,10435,7809,3794,2218,1960,236,153,127,1208,1238,552,6624,3132,4198,1092,922,28.36,0.2856,0.4858,0.2126,0.1547,0.1585,0.4459,0.4011,0.3487,0.2944
2026-05-08,VID_1110,测评短视频_111,测评,6199,1163,1102,835,286,192,30,25,7,355,39,14,687,279,239,69,49,66.04,0.1876,0.7577,0.2459,0.3221,0.0354,0.359,0.2532,0.2473,0.1756
2026-05-09,VID_1111,搞笑短视频_112,搞笑,46674,12048,11061,6862,4384,1391,124,129,225,2941,1117,195,7588,4712,3348,2465,1630,17.38,0.2581,0.6204,0.3639,0.2659,0.101,0.1746,0.426,0.5231,0.3459
2026-05-10,VID_1112,生活短视频_113,生活,46549,10147,9086,6211,3366,1548,71,163,255,3852,450,129,4819,2681,2756,556,1374,20.27,0.218,0.6836,0.3317,0.4239,0.0495,0.2867,0.2951,0.2074,0.5125
2026-05-11,VID_1113,运动短视频_114,运动,27743,7748,6402,4719,3264,832,275,105,216,882,305,137,3453,818,3661,781,280,35.47,0.2793,0.7371,0.4213,0.1378,0.0476,0.4492,0.1278,0.9548,0.3423
2026-05-12,VID_1114,剧情短视频_115,剧情,17463,8894,6456,4726,2077,1257,73,212,208,609,911,187,5773,886,2117,531,102,32.35,0.5093,0.732,0.2335,0.0943,0.1411,0.2053,0.1372,0.5993,0.1151
2026-05-13,VID_1115,知识短视频_116,知识,11932,3004,2300,1216,994,362,96,34,57,717,220,45,2150,688,1297,137,156,73.12,0.2518,0.5287,0.3309,0.3117,0.0957,0.2045,0.2991,0.1991,0.2267
2026-05-14,VID_1116,测评短视频_117,测评,40622,7600,6221,3114,4375,1040,200,148,196,1666,951,381,5543,592,2628,520,398,20.41,0.1871,0.5006,0.5757,0.2678,0.1529,0.4006,0.0952,0.8784,0.6723
