date,video_id,video_title,content_category,impression_count,view_count,viewer_count,valid_viewer_count,complete_view_count,like_count,comment_count,share_count,collect_count,engaged_user_count,profile_visit_count,follow_count,active_user_count,new_user_count,return_user_count,next_day_active_user_count,day7_active_user_count,avg_watch_duration
2026-05-17,VID_1029,运动短视频_30,运动,21450,9763,6516,3887,4586,1568,339,137,269,1337,1130,292,4979,2848,2190,657,141,68.54
2026-04-18,VID_1030,剧情短视频_31,剧情,32562,7196,5408,2848,1528,948,37,65,160,2288,574,111,4246,2662,2423,678,668,71.57
2026-04-19,VID_1031,知识短视频_32,知识,32649,15110,13750,6815,8555,2944,596,141,348,3338,1705,549,11515,3100,3431,606,1358,38.69
2026-04-20,VID_1032,测评短视频_33,测评,18287,5753,5109,2472,2748,208,103,23,39,1924,956,367,4107,1939,2602,991,157,23.48
2026-04-21,VID_1033,搞笑短视频_34,搞笑,48962,19524,17716,8004,8928,3558,556,160,510,5856,620,141,11632,7766,5661,1688,1097,20.38
2026-04-22,VID_1034,生活短视频_35,生活,34928,10016,8666,6698,7004,1279,399,184,195,1643,860,112,5863,4024,3455,327,111,9.17
2026-04-23,VID_1035,运动短视频_36,运动,6986,2314,1944,1141,949,181,84,18,28,845,306,85,1767,587,966,255,51,29.28
2026-04-24,VID_1036,剧情短视频_37,剧情,11337,5665,4163,2808,3376,1127,162,118,155,1540,435,111,3556,656,1768,204,418,36.58
2026-04-25,VID_1037,知识短视频_38,知识,10305,1693,1587,779,373,199,26,6,11,271,65,16,1068,167,760,65,70,8.11
2026-04-26,VID_1038,测评短视频_39,测评,16629,8233,5354,3497,3661,1424,116,83,84,1088,553,203,3833,1964,1559,609,103,54.96
2026-04-27,VID_1039,搞笑短视频_40,搞笑,8267,1737,1153,582,1145,84,46,14,32,96,71,6,882,503,232,195,48,64.46
2026-04-28,VID_1040,生活短视频_41,生活,16683,8633,6788,4693,5976,1431,224,66,127,1451,1141,225,4364,765,1438,196,274,54.73
2026-04-29,VID_1041,运动短视频_42,运动,14950,6659,4961,3998,3308,395,151,165,27,628,270,90,2517,2466,2152,334,480,49.04
2026-04-30,VID_1042,剧情短视频_43,剧情,11570,1969,1631,926,1047,136,70,16,39,635,53,15,1221,401,768,228,224,35.67
2026-05-01,VID_1043,知识短视频_44,知识,15839,5636,3684,2830,2593,547,162,35,163,850,169,69,2137,603,2002,360,278,65.97
2026-05-02,VID_1044,测评短视频_45,测评,33356,11901,10383,7708,7039,2108,391,61,110,3020,496,205,8665,931,6143,1062,820,29.06
2026-05-03,VID_1045,搞笑短视频_46,搞笑,20815,8190,6750,4142,4102,770,153,48,67,2876,739,112,5454,1502,3928,199,844,26.36
2026-05-04,VID_1046,生活短视频_47,生活,25468,5712,4607,2936,1883,804,127,31,60,445,515,224,2914,1848,2537,1148,763,12.74
2026-05-05,VID_1047,运动短视频_48,运动,12498,2563,1900,1275,636,148,35,16,67,746,256,71,1449,738,604,131,215,21.65
2026-05-06,VID_1048,剧情短视频_49,剧情,31358,6217,5712,2799,2065,661,84,115,162,2245,345,80,5104,1271,2355,236,280,66.61
2026-05-07,VID_1049,知识短视频_50,知识,47252,21780,17539,11334,10124,1118,834,296,626,4885,1821,234,10060,5487,4965,434,742,29.22
2026-05-08,VID_1050,测评短视频_51,测评,46024,15464,11909,7892,4540,1696,160,359,199,5308,2013,713,6223,2665,6166,1801,597,68.97
2026-05-09,VID_1051,搞笑短视频_52,搞笑,31582,10270,8644,3897,7154,533,106,173,145,1589,350,87,7907,1850,4239,954,565,70.7
2026-05-10,VID_1052,生活短视频_53,生活,27701,6118,5221,4116,1346,1215,144,107,72,1286,948,338,4836,1220,2586,470,414,67.87
2026-05-11,VID_1053,运动短视频_54,运动,19107,6070,5123,3006,2452,870,169,106,27,1243,263,29,3314,835,2619,511,180,26.16
2026-05-12,VID_1054,剧情短视频_55,剧情,38996,10271,8755,7127,3094,1373,143,172,126,2456,1306,564,8223,2170,4151,229,928,37.3
2026-05-13,VID_1055,知识短视频_56,知识,9516,4989,4521,2617,2356,356,184,116,129,1181,621,126,4250,1776,2287,590,159,50.56
2026-05-14,VID_1056,测评短视频_57,测评,32788,8299,6853,4207,2567,259,139,170,214,2617,1208,171,3853,2776,1687,917,115,35.9
2026-05-15,VID_1057,搞笑短视频_58,搞笑,16598,6603,6139,5171,1550,1191,186,36,169,804,1009,181,3556,1583,2583,739,755,73.96
2026-05-16,VID_1058,生活短视频_59,生活,4493,845,733,616,303,121,14,17,21,183,74,7,637,186,240,134,66,17.5
2026-05-17,VID_1059,运动短视频_60,运动,27273,13680,9286,4748,6387,1425,439,51,286,974,361,28,8082,1398,2402,1943,846,14.12
2026-04-18,VID_1060,剧情短视频_61,剧情,22899,10192,7411,5565,4607,685,125,199,72,2650,807,174,3992,1141,2001,918,366,51.13
2026-04-19,VID_1061,知识短视频_62,知识,21540,7097,5449,4359,4881,1004,107,136,132,2195,341,55,4075,2332,2638,70,364,25.17
2026-04-20,VID_1062,测评短视频_63,测评,16554,7501,6735,4542,2945,944,215,33,30,1213,799,156,4010,3069,3088,515,369,69.75
2026-04-21,VID_1063,搞笑短视频_64,搞笑,22676,3940,2815,1926,1173,256,77,27,29,932,186,21,2497,604,969,79,127,21.56
2026-04-22,VID_1064,生活短视频_65,生活,40652,21214,14424,7110,5466,3356,714,309,634,4460,731,289,7498,3584,4753,2539,660,72.59
2026-04-23,VID_1065,运动短视频_66,运动,44753,15639,12481,10463,6104,1322,183,82,414,2834,1615,205,9550,2878,4536,1278,1935,33.84
2026-04-24,VID_1066,剧情短视频_67,剧情,39328,12994,10660,6766,6878,1226,108,86,296,3039,901,187,7196,1813,4531,976,1498,47.43
2026-04-25,VID_1067,知识短视频_68,知识,18475,7714,5135,4252,3056,281,222,118,36,2166,659,53,4285,2248,2046,173,328,66.0
2026-04-26,VID_1068,测评短视频_69,测评,49453,18595,13594,6990,10923,3603,649,132,361,3585,1647,720,12168,3225,3268,1870,1485,48.08
2026-04-27,VID_1069,搞笑短视频_70,搞笑,20533,6570,4999,3084,1702,536,233,23,115,1869,861,159,3542,1848,1326,508,121,38.47
2026-04-28,VID_1070,生活短视频_71,生活,48169,11354,7855,4126,4224,1902,443,54,237,909,1500,344,7007,2720,2919,277,832,71.27
2026-04-29,VID_1071,运动短视频_72,运动,27545,4576,3943,2250,2981,228,32,97,36,381,745,290,2920,1831,1683,302,142,28.5
2026-04-30,VID_1072,剧情短视频_73,剧情,40189,10626,9981,4867,6733,1840,403,61,262,3412,1707,752,7441,3076,5585,2061,542,33.5
2026-05-01,VID_1073,知识短视频_74,知识,11900,3506,2690,1307,836,470,21,22,32,991,284,120,2526,462,1092,687,35,18.14
2026-05-02,VID_1074,测评短视频_75,测评,46847,10683,8766,7144,5006,1442,376,255,139,2731,563,211,4740,1533,3288,1182,767,20.07
2026-05-03,VID_1075,搞笑短视频_76,搞笑,5976,1663,1406,1011,694,314,19,8,28,231,214,30,1031,412,526,230,71,12.41
2026-05-04,VID_1076,生活短视频_77,生活,37495,9043,7607,3577,6245,364,305,156,219,1928,1387,355,5269,2646,4126,707,694,71.4
2026-05-05,VID_1077,运动短视频_78,运动,30868,9209,7160,5547,4170,1442,88,67,186,2524,774,123,5987,3263,2212,480,121,27.23
2026-05-06,VID_1078,剧情短视频_79,剧情,18418,9266,8137,5966,2664,708,146,53,169,1727,905,121,6650,889,3193,1467,652,62.16
2026-05-07,VID_1079,知识短视频_80,知识,27881,6867,5206,2709,2978,572,99,40,105,1171,369,132,3312,1223,1532,1083,370,65.23
2026-05-08,VID_1080,测评短视频_81,测评,32309,12775,11713,9527,7610,1419,284,152,239,2934,512,43,8766,5052,2851,942,1779,65.61
2026-05-09,VID_1081,搞笑短视频_82,搞笑,49944,25269,18807,11484,8440,3150,388,170,229,5723,3565,739,9893,9002,6792,3342,334,61.59
2026-05-10,VID_1082,生活短视频_83,生活,49019,25260,17480,12604,15338,1894,506,316,267,2919,1345,587,14842,7065,6141,1593,322,73.61
2026-05-11,VID_1083,运动短视频_84,运动,15441,2554,1819,1196,1545,237,29,18,37,205,176,62,1301,803,831,364,81,68.94
2026-05-12,VID_1084,剧情短视频_85,剧情,6361,2811,2463,1204,1220,222,92,64,69,379,151,37,1526,480,743,176,76,63.88
2026-05-13,VID_1085,知识短视频_86,知识,14556,4507,2977,1532,2341,787,156,36,23,1100,196,82,2650,620,1332,208,403,56.07
2026-05-14,VID_1086,测评短视频_87,测评,48835,24450,19761,14779,14920,1724,552,345,468,7059,1559,192,13393,8111,11170,1584,1525,20.44
2026-05-15,VID_1087,搞笑短视频_88,搞笑,23737,11111,10424,7700,7321,1228,439,56,163,4629,936,295,9318,2077,5369,1358,692,58.83
2026-05-16,VID_1088,生活短视频_89,生活,12751,5005,4241,3315,1062,571,34,53,132,684,640,184,2179,1045,2451,189,248,57.24
2026-05-17,VID_1089,运动短视频_90,运动,18832,9496,6787,4496,5599,1832,283,161,221,1159,469,42,5017,1900,2577,489,908,31.07
2026-04-18,VID_1090,剧情短视频_91,剧情,48653,10042,9456,7670,6637,454,92,45,298,1918,555,87,5043,1282,5020,1386,1030,50.14
2026-04-19,VID_1091,知识短视频_92,知识,30194,10835,9359,5886,4041,805,112,91,280,2368,550,206,6070,3445,5077,473,240,53.47
2026-04-20,VID_1092,测评短视频_93,测评,33573,8997,7383,4178,4292,476,263,160,195,2289,987,306,3937,1976,2684,185,539,23.65
2026-04-21,VID_1093,搞笑短视频_94,搞笑,45760,22051,17943,13532,9620,2505,518,358,511,4749,2428,1027,9551,5321,7045,2784,1682,37.74
2026-04-22,VID_1094,生活短视频_95,生活,30681,7264,4929,2219,3021,921,75,172,60,1797,762,70,3854,1069,2250,556,281,41.01
2026-04-23,VID_1095,运动短视频_96,运动,11501,5203,4708,3999,1623,671,206,128,92,876,341,60,3707,2077,2698,270,299,37.03
2026-04-24,VID_1096,剧情短视频_97,剧情,14353,7808,7197,5537,2612,905,213,93,183,1430,885,254,4678,1575,1805,556,242,58.12
2026-04-25,VID_1097,知识短视频_98,知识,49324,18328,12029,6935,5287,721,464,63,477,3881,923,96,6855,4026,4545,482,1600,8.73
2026-04-26,VID_1098,测评短视频_99,测评,28763,14714,11989,6114,4434,2825,328,141,241,3886,1836,554,7934,2089,2618,1163,196,50.5
2026-04-27,VID_1099,搞笑短视频_100,搞笑,11394,4491,3965,3069,2496,322,29,35,71,468,439,133,2721,611,2100,383,121,69.05
2026-04-28,VID_1100,生活短视频_101,生活,27362,4236,3723,3120,2765,739,112,69,62,1635,459,49,2819,537,1846,180,320,41.65
2026-04-29,VID_1101,运动短视频_102,运动,47740,13123,12346,9176,5045,2496,402,101,345,1786,831,209,8274,5404,3662,2174,606,73.16
2026-04-30,VID_1102,剧情短视频_103,剧情,28488,5280,4499,2635,1244,459,182,76,136,1151,711,131,3153,2160,2070,289,129,18.08
2026-05-01,VID_1103,知识短视频_104,知识,10078,4283,2844,1605,1155,332,26,70,58,691,285,77,2255,357,584,165,205,32.94
2026-05-02,VID_1104,测评短视频_105,测评,42803,16582,10886,7141,6175,3154,95,269,395,2567,512,189,6838,4471,4930,2773,201,44.1
2026-05-03,VID_1105,搞笑短视频_106,搞笑,27930,5828,4376,3697,1212,650,228,78,43,1082,758,151,2289,2087,1340,202,371,41.16
2026-05-04,VID_1106,生活短视频_107,生活,49388,12521,10033,7964,5310,1505,490,88,148,1840,1760,394,5156,2453,2809,726,497,31.44
2026-05-05,VID_1107,运动短视频_108,运动,48643,14084,12183,7755,5361,2577,239,54,237,4818,1550,246,6770,2194,6077,767,1360,54.88
2026-05-06,VID_1108,剧情短视频_109,剧情,22545,12334,9280,4780,5668,399,462,108,62,2573,559,171,5092,1678,2872,208,253,33.42
2026-05-07,VID_1109,知识短视频_110,知识,36538,10435,7809,3794,2218,1960,236,153,127,1208,1238,552,6624,3132,4198,1092,922,28.36
2026-05-08,VID_1110,测评短视频_111,测评,6199,1163,1102,835,286,192,30,25,7,355,39,14,687,279,239,69,49,66.04
2026-05-09,VID_1111,搞笑短视频_112,搞笑,46674,12048,11061,6862,4384,1391,124,129,225,2941,1117,195,7588,4712,3348,2465,1630,17.38
2026-05-10,VID_1112,生活短视频_113,生活,46549,10147,9086,6211,3366,1548,71,163,255,3852,450,129,4819,2681,2756,556,1374,20.27
2026-05-11,VID_1113,运动短视频_114,运动,27743,7748,6402,4719,3264,832,275,105,216,882,305,137,3453,818,3661,781,280,35.47
2026-05-12,VID_1114,剧情短视频_115,剧情,17463,8894,6456,4726,2077,1257,73,212,208,609,911,187,5773,886,2117,531,102,32.35
2026-05-13,VID_1115,知识短视频_116,知识,11932,3004,2300,1216,994,362,96,34,57,717,220,45,2150,688,1297,137,156,73.12
2026-05-14,VID_1116,测评短视频_117,测评,40622,7600,6221,3114,4375,1040,200,148,196,1666,951,381,5543,592,2628,520,398,20.41
2026-05-15,VID_1117,搞笑短视频_118,搞笑,24543,7009,6035,3209,1729,558,273,130,139,2465,965,148,3852,1240,1302,322,134,70.63
2026-05-16,VID_1118,生活短视频_119,生活,17716,5999,4774,2981,2173,1095,238,28,83,1303,493,148,2775,1087,1503,327,449,10.15
2026-05-17,VID_1119,运动短视频_120,运动,38555,6816,5255,2533,2258,869,152,107,94,2337,344,52,4582,726,1951,958,277,12.56
2026-04-18,VID_1120,剧情短视频_121,剧情,18267,3245,2817,1592,1823,146,18,13,85,294,497,193,1706,874,1043,385,283,17.91
2026-04-19,VID_1121,知识短视频_122,知识,11004,5307,3531,2263,3413,536,94,76,85,1151,517,91,2284,735,1060,151,369,16.83
2026-04-20,VID_1122,测评短视频_123,测评,24243,11856,8551,4363,2422,446,369,54,229,833,1364,607,7184,1974,1747,1540,184,16.18
2026-04-21,VID_1123,搞笑短视频_124,搞笑,35611,13250,10983,8422,7639,1649,204,135,374,4505,1833,314,8861,5374,4028,1105,176,42.82
2026-04-22,VID_1124,生活短视频_125,生活,9438,4932,3389,1793,2873,205,144,83,116,392,620,216,2957,1293,1472,306,376,51.85
2026-04-23,VID_1125,运动短视频_126,运动,6166,2003,1756,1490,561,254,13,23,38,271,213,54,1340,625,857,281,129,48.01
2026-04-24,VID_1126,剧情短视频_127,剧情,39551,10254,8287,6622,5532,1587,348,164,198,940,1083,175,5406,2216,4521,1092,145,17.44
2026-04-25,VID_1127,知识短视频_128,知识,7756,1762,1342,1110,797,297,32,35,43,223,64,13,737,450,783,47,198,42.46
2026-04-26,VID_1128,测评短视频_129,测评,49599,11640,10427,6771,2525,897,79,275,330,3469,1997,772,7711,3647,4014,457,160,63.22
2026-04-27,VID_1129,搞笑短视频_130,搞笑,28955,6032,4331,2899,1855,823,222,38,167,608,544,117,3924,1854,1959,582,103,71.23
2026-04-28,VID_1130,生活短视频_131,生活,45734,21155,16145,7345,9622,1533,496,238,618,4321,1683,346,9328,3459,5127,1665,1897,26.82
2026-04-29,VID_1131,运动短视频_132,运动,30523,13036,8571,4756,5629,2045,300,212,186,783,1157,382,4444,1045,3959,541,747,62.57
2026-04-30,VID_1132,剧情短视频_133,剧情,20397,8117,6972,5532,2119,349,95,25,126,2946,239,93,4535,1043,2652,780,790,16.21
2026-05-01,VID_1133,知识短视频_134,知识,28624,7675,7091,3442,3096,1101,161,150,37,3040,1358,315,4005,2396,2077,691,954,40.53
2026-05-02,VID_1134,测评短视频_135,测评,17639,4558,3638,1924,2873,880,59,107,85,1398,667,269,2510,1147,1226,163,84,66.59
2026-05-03,VID_1135,搞笑短视频_136,搞笑,39326,15811,12748,7922,6833,2400,499,247,417,2006,2165,332,8043,5740,6269,2148,1931,35.73
2026-05-04,VID_1136,生活短视频_137,生活,14001,6270,4927,4043,2490,1084,118,73,65,1424,236,38,3553,2061,2749,197,324,37.52
2026-05-05,VID_1137,运动短视频_138,运动,41254,12766,10105,6899,5750,1123,421,278,102,2573,1708,607,7702,2019,5008,744,393,70.61
2026-05-06,VID_1138,剧情短视频_139,剧情,21266,10639,10065,8051,3010,1894,309,156,149,3857,356,80,8711,3804,3898,1001,375,72.15
2026-05-07,VID_1139,知识短视频_140,知识,20921,5207,3774,1908,3281,166,127,74,130,618,436,194,2490,952,1008,675,90,66.93
